gloss,gorum,sora,remo,gutob,kharia,juang,gtaq,santali,mundari,ho,korwa,korku,set
spread(vt)_3,l,l,0,(d),l,n,ʔ,l,l,l,l,l,l2-3
burn(v)_1,b,b,x,b,x,x,b,b,b,b,b,b,b1
burn(v)_2,a,a:,x,a,x,x,a,a,a,a,a:,a:,a1
burn(v)_3,l,l,x,l,x,x,0,l,l,l,l,l,l1
tie(v)_1,t,t,t,t,t,t,t,t,t,t,t,ʈ,t1-1a
tie(v)_2,o,o,u,o,o,o,u,o̠,o,o,o,o,
tie(v)_3,l,l,0,l,l,r,0,l,l,l,l,l,l2-2
grind(v)_1,r,r,r,r,r,r,r,r,r,r,r,x,r1
grind(v)_2,i,i,i,i,i,i,i,i,i,i,i:,x,i1
grind(v)_3,ˀd,d,ʔ,ɽ,ɖ,ɖ,g,t','d,ɖ,ɖ,x,ˀt1-1
fever/pain_1,a,a/ə,0,i,o/u,a,a,a,a:,a,a,a,
fever/pain_2,s,s,s,s,s,s,s,s,s,s,s,S,s2
fever/pain_3,u,u:,i,i,u,u,u,o,u,u,u:,u,
shoot(v)_1,t,t,t,t,t,t,ʈ,t,t,t,x,ʈ,t1-1b
shoot(v)_2,i,u,i,i,u,u,wi,u,ui,u,,u,
shoot(v)_3,ŋ,ɲ,ŋ,ŋ,ɲ,ɲ,ŋ,ɲ,ŋ,ŋ,,ɲj,ɲ2
chicken_1,x,s,s,s,s,s,s,s,s,s,s,x,s2
chicken_2,x,i:,i,i,i,ɛ,æ,i,i,i,i:,x,i2
chicken_3,x,m,ŋ,ŋ,ŋ,ŋ,ŋ,m,m,m,m,x,m3
wipe(v)_1,z,ɟ,s,s,j,x,c,j,j,j,j,j,ɟ1
wipe(v)_2,o,o,u,o,o,x,u,o̠,o,o,o,o,
wipe(v)_3,ˀd,ˀd,ʔ,d,ˀɖ,x,ʔ,t',d',ɖ,ɖ,0,ˀt1-1a
fruit/to-bear-fruit(v)_1,z,ɟ,s,x,x,x,c,j,j,j,j,j,ɟ1
fruit/to-bear-fruit(v)_2,o,o:,u,x,x,x,u,o̠,o,o:,o,o:,
fruit/to-bear-fruit(v)_3,ʔ,ʔ,ʔ,x,x,x,0,0,0,0,ʔ,0,ˀ0
sweep(v)_1,z,ɟ,s,s,j,j,c,j,j,j,x,j,ɟ1
sweep(v)_2,o,o:,u,o,o,ɔ,o,o̠,o,o,x,u,
sweep(v)_3,ʔ,0,k',g,ʔ,g,ʔ,k',ʔ,ʔ,x,0,ˀk1
hail/pebble_1,a,a,a,a,a,a,a,a,a:,a,a,x,a1
hail/pebble_2,r,r,r,r,r,ɭ,r,r,ɽ,r,r,x,r1-1
hail/pebble_3,i,e:,e,e,e,ɛ,e,e,i,i,i,x,
hail/pebble_3,l,l,0,l,l,n,0,l,l,l,l,x,l2-1
night_1,ɖ,r,ɖ,d,ɖ,x,ɖ,y,y,y,y,y,dy
night_2,u,u,i,i,i,x,i,u,u,u,u,u,
night_3,ˀb,b,p',b,ˀb,x,g,p',b,b,b,p,b2-1
cloud_1,t,t,t,t,t,x,t,x,x,x,x,x,t1
cloud_2,a,a,i,i,i,x,0,x,x,x,x,x,
cloud_3,r,r,r,r,r,x,r,x,x,x,x,x,r1
cloud_3,u,u,i,i,i,x,i,x,x,x,x,x,
cloud_3,ˀb,b,b,b,ˀb,x,g,x,x,x,x,x,b2-1
leaf_1,o,o:,u,o,u,o,u,a,a:,a,x,a:,
leaf_2,l,l,l,l,l,l,l,lh,lh,l,x,l,l1-1
leaf_3,a,a:,a,a,a,a,ia,a,a:,a,x,a,a2
leaf_4,ʔ,0,k',g,ʔ,g,ʔ,0,0,0,x,0,ˀk1a
skin_1,u,u,u,i,u,0,u,0,,,,0,
skin_2,s,s,s,s,s,ch,s,ch,x,x,x,s,s2-2
skin_3,a,a,a,a:,a,a,a,a,x,x,x,a:,a1
skin_4,l,l,0,l,l,l,0,l,,,,l,l1
laugh(v)_1,l,x,x,l,l,l,l,l,l,l,l,l,l1
laugh(v)_2,i,x,x,u,a,a,wa,a,a:,a,a:,a,
laugh(v)_3,0,x,x,0,0,0,0,n,n,n,N,n,
laugh(v)_4,ɖ,x,x,ɖ,ɖ,r,ʔ,ɖ,ɖ,d,d,ɖ,
laugh(v)_5,a,x,x,o,a,a,0,a,a:,a,0,a,
forehead_1,0,0,0,s,s,0,s,s,s,s,s,s,s1-2
forehead_2,a,a,u,u/a,o/u,ɛ,æ,a,a:,a,a,a,
forehead_3,m,mm,m,m,m,m,0,m,m,m,m,mm,m1a
forehead_4,a,a,o,o/u,o/a,ɔ,0,a,a:,a,a,a,
forehead_5,ŋ,ŋ,ŋ,ŋ,ŋ/0,ŋ,0,ŋ,ŋ,ŋ,ŋ,0,ŋ1
fear_1,b,b,b,b,b,x,b,x,b,x,x,x,b1
fear_2,u,a,u,u,o,x,0,x,o,x,x,x,
fear_3,t,t,t,t,t,x,ʈ,x,t,x,x,x,t1-1b
fear_4,o,o:,u,o,o,x,o,x,o,x,x,x,
fear_5,ŋ,ŋ,ŋ,ŋ,ŋ,x,ʔ,x,ŋ,x,x,x,ŋ1-3
cook(v)_1,ɖ,d,ɖ,ɖ,ɖ,ɖ,ɖ,x,x,x,x,x,d1
cook(v)_2,e,i,o,o,e,ɛ,ue,x,x,x,x,x,
cook(v)_3,ɲ,ɲ,Nĭ,ɲ,ɲ,ɲ,0,x,x,x,x,x,ɲ1
snake_1,b,b,b,b,b,b,b,b,b,b,b,b,b1
snake_2,u,i,u,ui,u,u,o,i,i,i,i:,i,
snake_3,ˀd,ɲ/ŋ,ʔ,0,ɲ,ŋ,ʔ,ɲ,ŋ,ɲ,ŋ,ɲj,
plough(v)_1,x,x,s,s,s,s,s,s,s,s,s,x,s1o2
plough(v)_2,x,x,e,ui,i,i,i,i,iu,i:,i:,x,
lick(v)_1,z,ɟ,s,s,j,x,c,j,j,j,j,j,ɟ1
lick(v)_2,a,a:,a,a,a,x,a,a,a,a,a,a,a1
