"gloss","","gorum","sora","remo","gutob","kharia","juang","gtaq","santali","mundari","ho","korwa","korku","set_v2","pm_v2","set_v1","pm_v1","cv"
"water_1","#0001-1","ɖ","d","d","ɖ","ɖ","ɖ","d","d","d","d","d","ɖ","","","d1","d","C"
"water_2","#0001-2","a","a","a","a","a","a","ia","a","a:","a","a:","a","","","a2","a","V"
"water_3","#0001-3","ʔ","ʔ","k'","ʔ","ʔ","g","ʔ","k'","0","ʔ","ʔ","0","","","ˀk1","ˀk","C"
"bone_1","#0002-1","z","ɟ","s","s","j","ɟ","c","j","j","j","j","x","","","ɟ1","ɟ","C"
"bone_2","#0002-2","a","a","a","a","a","a","ia","a","a:","a","a:","x","","","a2","a","V"
"bone_3","#0002-3","ŋ","ŋ","ŋ","ŋ","ŋ","ŋ","0","ŋ","ŋ","ŋ","ŋ","x","","","ŋ1","ŋ","C"
"tongue_1","#0003-1","l","l","l","l","l","l","l","l","l","x","l","l","","","l1","l","C"
"tongue_2","#0003-2","a","a","a","a","a","a","ia","a","a:","x","a:","a","","","a2","a","V"
"tongue_3","#0003-3","ŋ","ŋ","ŋ","ŋ","ŋ","ŋ","0","ŋ","ŋ","x","ŋ","ŋ","","","ŋ1","ŋ","C"
"tiger_1","#0004-1","k","k","k","k","k","k","k","k","k","k","k","k","","","k1-1","k1-1","C"
"tiger_2","#0004-2","u","i","u","i","i","i","u","u","u","u","u:","u","","","ui1","ui1","V"
"tiger_3","#0004-3","l","n","0","l","ɽ","ɭ","0","l","l","l","l","l","","","l1-3","l1-3","C"
"tiger_4","#0004-4","a","a:","0","0","o","o","0","0","a:","a","0","a","","","ao1c","ao1c","V"
"tiger_5","#0004-5","ʔ","0","0","0","ʔ","g","0","0","0","0","0","0","","","ʔ1a","ʔ1a","C"
"weave(v)_1","#0005-1","t","t","t","t","t","x","t","t","t","t","x","x","","","t1","t","C"
"weave(v)_2","#0005-2","a","a","a","a","a","x","æ","e","e","e","x","x","","","a3","a","V"
"weave(v)_3","#0005-3","ɲ","ɲ","Ny","ɲ","ɲ","x","0","ɲ","ŋ","ɲ","x","x","","","ɲ1","ɲ","C"
"climb(v)_1","#0006-1","ɖ","d","ɖ","ɖ","x","ɖ","ɖ","d","d","d","d","x","","","d1","d","C"
"climb(v)_2","#0006-2","a","a","a","a","x","a","æ","e̠","e","e","e","x","","","a3","a","V"
"climb(v)_3","#0006-3","ˀɟ","ɟ","ĭ","j","x","ɲ","ʔ","c'","j'","ʔ","ʔ","x","","","ˀɟ1a","ˀc","C"
"horn_1","#0007-1","ɖ","d","d","x","ɖ","x","ɖ","d","d","d","d","x","","","d1","d","C"
"horn_2","#0007-2","e","e","e","x","e","x","i","e","i","i","e","x","","","e(e:i)-2b","e(e:i)-2b","V"
"horn_3","#0007-3","r","r","r","x","r","x","r","r","r","r","r","x","","","r1","r","C"
"horn_4","#0007-4","a","a","u","x","e","x","a","e","i","i","e","x","","","a:u:e:i","a:u:e:i","V"
"horn_5","#0007-5","ŋ","ŋ","ŋ","x","ŋ","x","ŋ","ɲ","ŋ","ɲ","ŋ","x","","","ŋ1-4","ŋ1-4","C"
"hand_1","#0008-1","s","s","t","t","t","t","t","t","t","t","t","ʈ","","","t3","t3","C"
"hand_2","#0008-2","i","i:","i","i","i","i","i","i","i","i:","i(:)","i","","","i1","i","V"
"hand_3","#0008-3","ʔ","ʔ","0","0","ʔ","0","0","0","0","0","ʔ","0","","","ʔ1b","ʔ1b","C"
"louse_1","#0009-1","x","0","s","s","s","s","s","s","s","s","(h)","s","","","s1","s","C"
"louse_2","#0009-2","x","i","i","i","e","ɛ","i","e","i","i","(i:)","i","","","i5(e:i)","i5(e:i)","V"
"louse_3","#0009-3","x","0","0","0","ʔ","0","0","0","k","k","(0)","k","","","ʔ2a","ʔ2a","C"
"foot_1","#0010-1","z","ɟ","s","s","j","ɟ","c","j","j","x","x","x","","","ɟ1","ɟ","C"
"foot_2","#0010-2","i","e:","u","u","u","i","o","a","a","x","x","x","","","i:e:u/N:a","i:e:u/N:a","V"
"foot_3","#0010-3","ŋ","ŋ","ŋ","ŋ","ŋ","ŋ","0","ŋ","ŋ","x","x","x","","","ŋ1","ŋ","C"
"head_1","#0011-1","b","b","b","b","b","b","b","b","b","b","b","x","","","b1","b","C"
"head_2","#0011-2","0","0","0","0","o","o","0","o̠","0","0","0","x","","","o3","o3","V"
"head_3","#0011-3","0","0","0","0","k","k","h","h","0","0","0","x","","","k2","k2","C"
"head_4","#0011-4","a","o:","o","o","o","o","a","o̠","o","o:","o","x","","","o4(go:a/gt:a)","o4(go:a/gt:a)","V"
"head_5","#0011-5","ˀb","ˀb","b","b","ˀb","b","ʔ","k'","0","ʔ","ʔ","x","","","b2-1b","ˀp/ʔ","C"
"eye_1","#0012-1","m","m","m","m","m","m","m","m","m","m","m","m","","","m1","m","C"
"eye_2","#0012-2","a","o:","o","o","o","ɔ","ua","e̠","e","e","e","e","","","a:o/N:e-4","a:o/N:e-4","V"
"eye_3","#0012-3","ˀd","ˀd","ʔ","ʔ","ˀɖ","ɖ","ʔ","t'","d'","ɖ","ɖ","d","","","ˀt1","ˀt","C"
"cut(v)_1","#0013-1","g","g","g","g","g","x","g","g","g","g","g","g","","","g1","g","C"
"cut(v)_2","#0013-2","a","a","o","o","a","x","wa","e̠","e","e","e","e","","","a:o/N:e-5","a:o/N:e-5","V"
