"gloss","","gorum","sora","remo","gutob","kharia","juang","gtaq","santali","mundari","ho","korwa","korku","set_v2","pm_v2","set_v1","pm_v1","cv"
"boil(v)_2","#0046-2","s","s","s","s","s","x","s","s","s","s","s","s","","","s2","s","C"
"boil(v)_3","#0046-3","i","i","i","i","i","x","i","i","i","i","i","i","","","i1","i","V"
"boil(v)_4","#0046-4","n","n","ŋ","n","n","x","ŋ","n","n","n","ŋ","n","","","n1","n1","C"
"cover(v)_1","#0047-1","ɖ","d","ɖ","ɖ","ɖ","ɖ","ɖ","d","d","d","x","d","","","d1","d","C"
"cover(v)_2","#0047-2","a","a","a","a","a","a","a","a/o̠","a/ā/o","a/o","x","a:","","","a1","a","V"
"cover(v)_3","#0047-3","l","l","l","l","l","n","0","l","l","l","x","l","","","l2-1","l2-1","C"
"grab(v)_1","#0048-1","x","x","s","s","x","s","s","s","s","s","s","s","","","s1o2","s","C"
"grab(v)_2","#0048-2","x","x","o","o","x","ɔ","a","a","a:","a","a:","a:","","","ao1b","ao1b","V"
"grab(v)_3","#0048-3","x","x","p'","b","x","b","ʔ","p'","b","b","b","p","","","b2-1","ˀp","C"
"bury(v)_1","#0049-1","t","t","t","t","t","t","x","(t)","(t)","x","t","x","","","t1","t","C"
"bury(v)_2","#0049-2","u","i","i","i","i","i","x","(i)","(i)","x","i:","x","","","i3(go:u)","i3(go:u)","V"
"bury(v)_3","#0049-3","l","l","0","l","l","r","x","(l)","(l)","x","l","x","","","l2-2","l2-2","C"
"stand(v)_1","#0050-1","t","t","t","t","t","t","th","t","t","t","x","ʈ","","","t1-1c","t1-1c","C"
"stand(v)_2","#0050-2","i","a","o","u","u","o","wa","e","i","i","x","e","","","i:a:o:u:wa:e","i:a:o:u:wa:e","V"
"stand(v)_3","#0050-3","n","n","ŋ","n","ŋ","ŋ","N","ŋg","ŋ","ŋg","x","ng","","","ŋ4(stand)","ŋ4(stand)","C"
"stand(v)_4","#0050-4","a","a","0","o","o","o","0","o","u","u","x","e","","","ao4","ao4","V"
"stand(v)_5","#0050-5","ŋ","ŋ","0","n","n","n","0","n","n","0","x","n","","","n4(stand)","n4(stand)","C"
"die(v)_1","#0051-1","x","x","g","g","g","g","g","g","g","g","g","g","","","g1","g","C"
"die(v)_2","#0051-2","x","x","o","o","o","ɔ","we","o̠","o","o","oe","o","","","o2a(gt:we/kw:oe)","o2a(gt:we/kw:oe)","V"
"die(v)_3","#0051-3","x","x","ĭ","j","ˀj","ɟ","ʔ","c'","j","j","j","0","","","ˀɟ1c","ˀc","C"
"run(v)_1","#0052-1","j","j","0","x","x","x","w","ɲ","n","n","ɲ","n","","","ɲ3","ɲ3","C"
"run(v)_2","#0052-2","e","e","u","x","x","x","i","i","i","i","i","i","","","e:u:i","e:u:i","V"
"run(v)_3","#0052-3","r","r","r","x","x","x","r","r","r","r","r","ɽ","","","r1a","r1a","C"
"new_1","#0053-1","t","t","t","t","t","x","t","x","x","x","x","x","","","t1","t","C"
"new_2","#0053-2","e","a","i","i","o","x","0","x","x","x","x","x","","","e:a:i:o","e:a:i:o","V"
"new_3","#0053-3","m","mm","m","m","nm","x","m","x","x","x","x","x","","","m1b","m","C"
"new_4","#0053-4","i","e","e","e","e","x","i","x","x","x","x","x","","","e(e:i)-4","e(e:i)-4","V"
"buffalo_1","#0054-1","b","b","b","b","b","x","b","b","x","x","x","b","","","b1","b","C"
"buffalo_2","#0054-2","o","o","u","o","o","x","u","i","x","x","x","i","","","o1(re:u/gt:u)-minus-N","o1(re:u/gt:u)-minus-N","V"
"buffalo_3","#0054-3","ŋ","ŋ","ŋ","ŋ","ŋ","x","N","k","x","x","x","kh","","","ŋ3","ŋ3","C"
"buffalo_4","#0054-4","t","t","t","t","t","x","ʈ","t","x","x","x","ʈ","","","t1-1b","t","C"
"buffalo_5","#0054-5","e","e","e","e","e","x","i","i","x","x","x","i","","","e(e:i)-1","e(e:i)-1","V"
"buffalo_6","#0054-6","l","l","0","l","l","x","0","l","x","x","x","l","","","l1","l","C"
"dry_1","#0055-1","a","a","0","u","o","o","0","x","x","x","x","x","","","v1:a:o:u","v1:a:o:u","V"
"dry_2","#0055-2","s","s","s","s","s","s","s","x","x","x","x","x","","","s2","s","C"
"dry_3","#0055-3","a","a","o","o","o","o","wa","x","x","x","x","x","","","ao3","ao3","V"
"dry_4","#0055-4","r","r","r","r","r","r","r","x","x","x","x","x","","","r1","r","C"
"bite(v)_1","#0056-1","x","x","0","0","h","x","h","h","h","h","h","kh","","","(k)h","(k)h","C"
"bite(v)_2","#0056-2","x","x","o","o","a","x","a","a","a:","a","a:","a","","","ao1d","ao1d","V"
"bite(v)_3","#0056-3","x","x","p","p","p","x","ʔ","p'","b","b","p","p","","","b2-1","ˀp","C"
"blow(v)_1","#0057-1","p","p","p","p","p","x","p","ph","x","x","x","x","","","p1","p","C"
"blow(v)_2","#0057-2","e","e","e","e","ɛ","x","i","e̠","x","x","x","x","","","e1-2a","e1-2a","V"
"blow(v)_3","#0057-3","ˀd","d","ʔ","d","ˀɖ","x","ʔ","t'","x","x","x","x","","","ˀt1-1a","ˀt","C"
"burn (vi)_1","#0058-1","g","g","g","g","g","x","g","x","x","x","x","x","","","g","g","C"
"burn (vi)_2","#0058-2","e","e:","e","e","e","x","i","x","x","x","x","x","","","","","V"
"burn (vi)_3","#0058-3","ˀb","b","p'","b","b","x","ʔ","x","x","x","x","x","","","ˀp","ˀp","C"
"blood_1","#0059-1","m","m","x","0","0","0","m","m","m","m","x","m","","","m1-1","m","C"
"blood_2","#0059-2","i","i","x","i","i","i","i","a","a:","a","x","a","","","i:a(S:i/N:a)","i:a(S:i/N:a)","V"
"blood_3","#0059-3","0","ɲ","x","0","ɲ","ɲ","0","Ny","y","y","x","y","","","Ny","Ny","C"
"blood_4","#0059-4","a","a","x","a","a","a/ɑ","a","a","o","o","x","u","","","a:o:u(S:a/Sa:a/Mu:o/Ko:u))","a:o:u(S:a/Sa:a/Mu:o/Ko:u))","V"
"blood_5","#0059-5","m","m","x","m","m","m","0","m","m","m","x","m","","","m1c","m","C"
"buy/sell(vt)_1","#0060-1","0","x","s","s","s","s","s","x","x","x","x","x","","","s1","s1","C"
"buy/sell(vt)_2","#0060-2","o","x","u","o","o","o","o","x","x","x","x","x","","","o4c(re:u)","o4c(re:u)","V"
"buy/sell(vt)_3","#0060-3","ŋ","x","ŋ","ŋ","ŋ","ŋ","0","x","x","x","x","x","","","ŋ1","ŋ","C"
"sweet_1","#0061-1","x","x","s","s","s","x","x","s","s","s","s","s","","","s1o2","s","C"
"sweet_2","#0061-2","x","x","u","u","e","x","x","e","i","i","e","i","","","V1-u:e:i","V1-u:e:i","V"
"sweet_3","#0061-3","x","x","b","b","b","x","x","b","b","b","b","m","","","b1(ko:m)","b","C"
"sweet_4","#0061-4","x","x","u","u","o","x","x","e","i","i","e","i","","","V2-u:e:i","V2-u:e:i","V"
"sweet_5","#0061-5","x","x","0","l","l","x","x","l","l","l","l","l","","","l1","l","C"
"kindle(v)_1","#0062-1","t","t","x","x","t","x","t","t","t","t","x","ʈ","","","t1-1a","t","C"
"kindle(v)_2","#0062-2","u","u","x","x","u","x","o","i","i","i","x","i","","","u:o/N:i","u:o/N:i","V"
"kindle(v)_3","#0062-3","ŋ","ŋ","x","x","ŋg","x","ŋ","ŋg","ŋ","ɲ","x","ng","","","ŋ1-1","ŋ1-1","C"
"stomach_1","#0063-1","x","(l)","l","l","l","x","l","l","l","l","l","l","","","l1","l","C"
"stomach_2","#0063-2","x","(o:)","o","o","a(i)","x","we","a","a:","a:","a:","a:","","","rg:o/gt:we/N:e","rg:o/gt:we/N:e","V"
"stomach_3","#0063-3","x","(ˀɟ)","ĭ","j","ˀj","x","ʔ","c'","iˀ","iʔ","i:ʔ","j","","","ˀɟ1b","ˀc","C"
"big_1","#0064-1","x","m","m","x","x","x","m","m","m","m","x","x","","","m1","m","C"
"big_2","#0064-2","x","a/ə","u","x","x","x","0","a","a","a","x","x","","","a:ə:u/N:a","a:ə:u/N:a","V"
"big_3","#0064-3","x","r","n","x","x","x","n","r","r","r","x","x","","","r1-2","r1-2","C"
"big_4","#0064-4","x","a","a","x","x","x","a","a","a","a","x","x","","","a1","a","V"
"big_5","#0064-5","x","ŋ","ʔ","x","x","x","ʔ","ŋ","ŋ","ŋ","x","x","","","ŋ2","ŋ2","C"
"white_1","#0065-1","a","x","x","x","o","x","x","e̠","e","e","e","e","","","a:o:/N:e-3","a:o:/N:e-3","V"
"white_2","#0065-2","s","x","x","x","s","x","x","s","s","s","s","s","","","s2","s","C"
"white_3","#0065-3","e","x","x","x","e","x","x","e̠","e","e","e","e","","","e1-1b","e1-1b","V"
"white_4","#0065-4","l","x","x","x","l","x","x","l","l","l","l","l","","","l1","l","C"
"lungs_1","#0066-1","b","b","b","b","x","x","b","b","b","b","b","(b)","","","b1","b","C"
"lungs_2","#0066-2","u","ə","u","u","x","x","0","o̠","o","o","o","(o)","","","u:ə:o","u:ə:o","V"
"lungs_3","#0066-3","r","r","r","r","x","x","r","r","r","r","r","(r)","","","r1","r","C"
"lungs_4","#0066-4","o","o:","u","o","x","x","e","o̠","0","0","o","0","","","o5(re:u/gt:e)","o5(re:u/gt:e)","V"
"lungs_5","#0066-5","ˀb","0","k'","ʔ","x","x","ʔ","0","k","k","0","0","","","b/k","b/k","C"
"liquor_1","#0067-1","a","ə/a","i","i","x","x","x","x","i","i","x","x","","","i4(go:a/so:a)","i4(go:a/so:a)","V"
"liquor_2","#0067-2","l","l","l","l","x","x","x","x","l","l","x","x","","","l1","l","C"
"liquor_3","#0067-3","i","i","i","i","x","x","x","x","i","i","x","x","","","i1","i","V"
"husked_rice_1","#0068-1","r","r","r","r","r","r","r","x","x","x","x","x","","","r1","r","C"
"husked_rice_2","#0068-2","u","ʊ","u","u","u","u","0","x","x","x","x","x","","","u1","u","V"
"husked_rice_3","#0068-3","ŋ","ŋ","ŋ","0","ŋ/m","ŋ","0","x","x","x","x","x","","","ŋ5(kh:m)","ŋ5(kh:m)","C"
"husked_rice_4","#0068-4","k","k","k","k","k","k","k","x","x","x","x","x","","","k1-2","k1-2","C"
"husked_rice_5","#0068-5","0","ʊ","u","u","u","u","o","x","x","x","x","x","","","u1","u","V"
"husked_rice_6","#0068-6","0","0","0","g","ˀb","b","ʔ","x","x","x","x","x","","","b2-2","ˀp(/ʔ)","C"
"meat_1","#0069-1","x","ɟ","s","s","x","x","c","j","j","j","x","j","","","ɟ1","ɟ","C"
"meat_2","#0069-2","x","e","i/e","e","x","x","i","e","i","i","x","i","","","e(e:i)-2a","e(e:i)-2a","V"
"meat_3","#0069-3","x","l","l","l","x","x","l","l","l","l","x","l","","","l1","l","C"
"meat_4","#0069-4","x","u:","i","i","x","x","i","0","u","u","x","u","","","u2a","u2a","V"
"mango(ripe)_1","#0070-1","x","u:","u","x","x","x","u","u","u","u","u:","x","","","u1c","u","V"
"mango(ripe)_2","#0070-2","x","l","l","x","x","x","l","l","l","l","l","x","","","l1","l","C"
"mango(ripe)_3","#0070-3","x","0","i","x","x","x","i","0","i","i","0","x","","","i1a","i1a","V"
"fly_1","#0071-1","r","r","x","r","x","x","r","r","r","r","x","r","","","r1","r","C"
"fly_2","#0071-2","o","o:","x","o","x","x","oe","o̠","o","o","x","u","","","o2b(gt:oe/ko:u)","o2b(gt:oe/ko:u)","V"
"fly_3","#0071-3","j","j","x","j","x","x","0","0","0","0","x","0","","","j1","j1","C/V"
"turmeric_1","#0072-1","s","s","s","s","s","s","s","s","s","s","x","s","","","s2","s","C"
"turmeric_2","#0072-2","a","a","a","a","a","a","ia","a","a","a","x","a","","","a2","a","V"
"turmeric_3","#0072-3","ŋ","ŋ","ŋ","ŋ","ŋ","ŋ","0","ŋ","ŋ","ŋ","x","n","","","ŋ1-6","ŋ","C"
"ear_1","#0073-1","l","l","l","l","l","l","l","l","l","l","l","l","","","l1","l","C"
"ear_2","#0073-2","u","u","u","i","u","u","u","u","u","u","u","u","","","u1a","u1a","V"
"ear_3","#0073-3","ˀd","ˀd","t","t","t","t","g","t","t","t","t","t","","","t2","t2","C"
"ear_4","#0073-4","0","0","u","i","u","u","0","u","u","u","u","u","","","u1a","u1a","V"
"ear_5","#0073-5","0","0","r","r","r","r/ʔ","0","r","r","r","r","r","","","r1-3","r1-3","C"
"nose_1","#0074-1","m","m","m","m","m","m","m","m","m","m","m","m","","","m1","m","C"
"nose_2","#0074-2","u","u","i","i","o","o","u","u","u","u","u:","u:","","","u(re:i/kh:o)","u(re:i/kh:o)","V"
"nose_3","#0074-3","ʔ","ʔ","ʔ","ʔ","ŋ/ˀɖ","t","0","0","0/h","w/ʈ","0","0","","","ˀx1","ˀx1","C"
"sun_1","#0075-1","x","x","s","s","s","s","s","s","s","s","s","x","","","s1o2","s","C"
"sun_2","#0075-2","x","x","i","i","i","i","i","i","i","i","i:","x","","","i1","i","V"
"sun_3","#0075-3","x","x","ŋ","N","ŋ","ŋ","0","ɲ","ŋ","ŋ","ŋ","x","","","ŋ1-5","ŋ1-5","C"
"sun_4","#0075-4","x","x","i","0","0","0","0","0","i","i","0","x","","","i6","i6","V"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
